retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 163554 | 12499 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 195819 | 11707 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 194667 | 11755 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 188065 | 11629 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 188537 | 11433 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 193287 | 11381 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 189560 | 12536 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 202197 | 12102 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 200146 | 11938 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 203709 | 12003 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 202608 | 11877 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 195940 | 11768 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 194050 | 11777 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 188386 | 11654 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 189094 | 11442 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_7|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 193568 | 11421 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
