tpch_1|FIVM|tpch10||lineitem,partsupp,part,orders:Q1a | CustomHash1500000, 1000, 2 | 132477 | 158578 | 59986052 | orderkey,partkey,suppkey,l_quantity,ps_availqty,p_name,o_totalprice | lineitem,partsupp,part,orders
tpch_1|FIVM|tpch1||partsupp,q2,part:Q1c | CustomHash1500000, 1000, 2 | 10250 | 1766 | 6001215 | partkey,suppkey,ps_availqty,orderkey,l_quantity,o_totalprice,p_name | partsupp,q2,part
tpch_1|FIVM|tpch1||partsupp,q2,part:Q1c | CustomHash1500000, 1000, 2 | 11302 | 1790 | 6001215 | partkey,suppkey,ps_availqty,orderkey,l_quantity,o_totalprice,p_name | partsupp,q2,part
tpch_1|FIVM|tpch1||partsupp,q2,part:Q1c | CustomHash1500000, 1000, 2 | 11648 | 1774 | 6001215 | partkey,suppkey,ps_availqty,orderkey,l_quantity,o_totalprice,p_name | partsupp,q2,part
tpch_1|FIVM|tpch1||partsupp,q2,part:Q1c | CustomHash1500000, 1000, 2 | 11291 | 1765 | 6001215 | partkey,suppkey,ps_availqty,orderkey,l_quantity,o_totalprice,p_name | partsupp,q2,part
tpch_1|FIVM|tpch1||partsupp,q2,part:Q1c | CustomHash1500000, 1000, 2 | 11457 | 1771 | 6001215 | partkey,suppkey,ps_availqty,orderkey,l_quantity,o_totalprice,p_name | partsupp,q2,part
tpch_1|FIVM|tpch1||lineitem,orders:Q2 | CustomHash1500000, 1000, 2 | 2147 | 808 | 6001215 | orderkey,partkey,suppkey,l_quantity,o_totalprice | lineitem,orders
tpch_1|FIVM|tpch1||lineitem,orders:Q2 | CustomHash1500000, 1000, 2 | 1870 | 826 | 6001215 | orderkey,partkey,suppkey,l_quantity,o_totalprice | lineitem,orders
tpch_1|FIVM|tpch1||lineitem,orders:Q2 | CustomHash1500000, 1000, 2 | 1830 | 819 | 6001215 | orderkey,partkey,suppkey,l_quantity,o_totalprice | lineitem,orders
tpch_1|FIVM|tpch1||lineitem,orders:Q2 | CustomHash1500000, 1000, 2 | 1822 | 814 | 6001215 | orderkey,partkey,suppkey,l_quantity,o_totalprice | lineitem,orders
tpch_1|FIVM|tpch1||lineitem,orders:Q2 | CustomHash1500000, 1000, 2 | 1943 | 816 | 6001215 | orderkey,partkey,suppkey,l_quantity,o_totalprice | lineitem,orders
